	nome_produto	valor_produto	data_busca	link_produto
191	Pen Drive Papai Noel Saco de Presentes - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-papai-noel-saco-de-presentes-mega-emporio/p/7703061/ia/inaz/
192	Pen Drive Patinha - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-patinha-mega-emporio/p/7703370/ia/inaz/
193	Pen Drive Multilaser Titan PD601 8GB - Multilaser	24.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-multilaser-titan-pd601-8gb-multilaser/p/7709163/ia/inaz/
194	Pen Drive Simpsons Krusty 8GB PD074 - Multilaser - Multilaser	40.41	5/10/2017	https://www.magazineluiza.com.br/pen-drive-simpsons-krusty-8gb-pd074-multilaser-multilaser/p/7710657/ia/inaz/
195	Pen Drive Violão - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-violao-mega-emporio/p/7709081/ia/inaz/
196	Pen Drive 8GB R2D2 PD036 - Multilaser - Multilaser	39.88	5/10/2017	https://www.magazineluiza.com.br/pen-drive-8gb-r2d2-pd036-multilaser-multilaser/p/7697319/ia/inaz/
197	Pen Drive Menino de Bandana Vermelha - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-menino-de-bandana-vermelha-mega-emporio/p/7697211/ia/inaz/
198	Cartão de Memória Micro SD 32 GB com Adaptador SD SDSDQM-032G-B35A - Sandisk - Sandisk	74.9	5/10/2017	https://www.magazineluiza.com.br/cartao-de-memoria-micro-sd-32-gb-com-adaptador-sd-sdsdqm-032g-b35a-sandisk-sandisk/p/7707678/ia/inaz/
199	Case Externo Para Hd 2.5 Pol 2Tb Usb 3.0 Preto Vinik - Vinik	53.9	5/10/2017	https://www.magazineluiza.com.br/case-externo-para-hd-2.5-pol-2tb-usb-3.0-preto-vinik-vinik/p/7709290/ia/hdcs/
200	Pen Drive 32Gb Usb 2.0 Aud320-32G-Cbk Preto 11700001 Adata - Adata	93.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-32gb-usb-2.0-aud320-32g-cbk-preto-11700001-adata-adata/p/7704826/ia/inaz/
201	Adaptador carregador usb simples branco bivolt - Importada	14.9	5/10/2017	https://www.magazineluiza.com.br/adaptador-carregador-usb-simples-branco-bivolt-importada/p/7705081/ia/inaz/
202	Pen Drive Smurf Desenho Clássico 4 ou 8 GB - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-smurf-desenho-classico-4-ou-8-gb-mega-emporio/p/7704291/ia/inaz/
203	Case 2.5 Pol Para Hd Até 1Tb Alumínio Ga122 Multilaser - Multilaser	53.9	5/10/2017	https://www.magazineluiza.com.br/case-2.5-pol-para-hd-ate-1tb-aluminio-ga122-multilaser-multilaser/p/7707817/ia/hdcs/
204	Pen Drive Talking Tom Cat - Mega Empório	39.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-talking-tom-cat-mega-emporio/p/7707834/ia/inaz/
205	Pen Drive Mestre Yoda Star Wars - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-mestre-yoda-star-wars-mega-emporio/p/7799256/ia/inaz/
206	Pen Drive Star Wars Chewbacca 8GB PD041 Multilaser. - Multilaser	46.09	5/10/2017	https://www.magazineluiza.com.br/pen-drive-star-wars-chewbacca-8gb-pd041-multilaser.-multilaser/p/7796345/ia/inaz/
207	Cartão De Memória Classe 4 32Gb Multikit Adaptador Usb Kingston - Kingston	111.9	5/10/2017	https://www.magazineluiza.com.br/cartao-de-memoria-classe-4-32gb-multikit-adaptador-usb-kingston-kingston/p/7795568/ia/inaz/
208	Pen Drive Osso - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-osso-mega-emporio/p/7796041/ia/inaz/
209	Pen Drive Ud311 32Gb Azul 11680002 Adata - Adata	88.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-ud311-32gb-azul-11680002-adata-adata/p/7793900/ia/inaz/
210	Memória Ram Ripjawsx 8Gb Ddr3 1.35V 1600Mhz G Skill - G Skill	476.9	5/10/2017	https://www.magazineluiza.com.br/memoria-ram-ripjawsx-8gb-ddr3-1.35v-1600mhz-g-skill-g-skill/p/7795298/ia/mddr/
211	Pen Drive Osso - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-osso-mega-emporio/p/7794572/ia/inaz/
212	Pen Drive Sapinho Verde Keroppi - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-sapinho-verde-keroppi-mega-emporio/p/7794928/ia/inaz/
213	Pen Drive Jack Skellington - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-jack-skellington-mega-emporio/p/7799787/ia/inaz/
214	Pen Drive Simpsons Bart 8GB PD071 - Multilaser - Multilaser	40.41	5/10/2017	https://www.magazineluiza.com.br/pen-drive-simpsons-bart-8gb-pd071-multilaser-multilaser/p/7799006/ia/inaz/
215	Case De Hd 2,5 Sata Azul Usb 2.0 Ga117 Multilaser - Multilaser	51.9	5/10/2017	https://www.magazineluiza.com.br/case-de-hd-2-5-sata-azul-usb-2.0-ga117-multilaser-multilaser/p/7776468/ia/hdcs/
216	Pen Drive S107 64Gb Vermelho 11570022 As107 Adata - Adata	142.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-s107-64gb-vermelho-11570022-as107-adata-adata/p/7781752/ia/inaz/
217	"SSD 240GB 2,5"" SATA III SDSSDA240GG25 - Sandisk - Sandisk"	541.9	5/10/2017	https://www.magazineluiza.com.br/ssd-240gb-2-5-sata-iii-sdssda240gg25-sandisk-sandisk/p/7777131/ia/inaz/
218	Pen Drive Homem Aranha Mini - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-homem-aranha-mini-mega-emporio/p/7773951/ia/inaz/
219	Pen Drive Mão do Mickey - Mega Empório	19.9	5/10/2017	https://www.magazineluiza.com.br/pen-drive-mao-do-mickey-mega-emporio/p/7778923/ia/inaz/
