	nome_produto	valor_produto	data_busca	link_produto
717	Cabo Hightech Lightning Prata Metálico de 1,2M Iphone 5/5S/5C/6 - EZ-C13UBLIGSL4I - Energizer - Energizer	109.9	5/10/2017	https://www.magazineluiza.com.br/cabo-hightech-lightning-prata-metalico-de-1-2m-iphone-5-5s-5c-6-ez-c13ubligsl4i-energizer-energizer/p/7114629/te/tlac/
718	Capa Protetora Alcantara Azul Galaxy S8 - EF-XG950ALEGBR - Samsung - Samsung	169.0	5/10/2017	https://www.magazineluiza.com.br/capa-protetora-alcantara-azul-galaxy-s8-ef-xg950alegbr-samsung-samsung/p/7113381/te/tlac/
719	Base Dex Station Original Samsung Para Galaxy S8 / S8+ - Samsung	559.99	5/10/2017	https://www.magazineluiza.com.br/base-dex-station-original-samsung-para-galaxy-s8-s8-samsung/p/7120317/te/tlac/
720	Pelicula de Vidro Para Smartphone Galaxy Note 3 N9005 N9006 - Pelicula	5.99	5/10/2017	https://www.magazineluiza.com.br/pelicula-de-vidro-para-smartphone-galaxy-note-3-n9005-n9006-pelicula/p/7090564/te/tlac/
721	Capa  para iPhone 4  Procase Air  Laranja + película protetora - Youts - Youts	4.9	5/10/2017	https://www.magazineluiza.com.br/capa-para-iphone-4-procase-air-laranja-pelicula-protetora-youts-youts/p/7091816/te/tlac/
722	Armband suporte braço samsung galaxy s3 i9300 htc one x - Samsung	39.99	5/10/2017	https://www.magazineluiza.com.br/armband-suporte-braco-samsung-galaxy-s3-i9300-htc-one-x-samsung/p/7103086/te/tlac/
723	Capa Protetora Galaxy S8+Alcantara Cover Azul - EF-XG955ALEGBR - Samsung - Samsung	169.0	5/10/2017	https://www.magazineluiza.com.br/capa-protetora-galaxy-s8-alcantara-cover-azul-ef-xg955alegbr-samsung-samsung/p/7103850/te/tlac/
724	Cabo Hightech Lightning Branco 1M Duo Micro-USB/Iphone 5/5S/5C/6 - EZ-C11UBDUGWH4I - Energizer - Energizer	109.0	5/10/2017	https://www.magazineluiza.com.br/cabo-hightech-lightning-branco-1m-duo-micro-usb-iphone-5-5s-5c-6-ez-c11ubdugwh4i-energizer-energizer/p/7105643/te/tlac/
725	Capa carteira galaxy note 3 samsung n9000 n9002 n9005 couro - Wei tus	79.99	5/10/2017	https://www.magazineluiza.com.br/capa-carteira-galaxy-note-3-samsung-n9000-n9002-n9005-couro-wei-tus/p/7093800/te/tlac/
726	Capa para iPhone 5 Street Art Gato + película protetora - Youts - Youts	14.9	5/10/2017	https://www.magazineluiza.com.br/capa-para-iphone-5-street-art-gato-pelicula-protetora-youts-youts/p/7096087/te/tlac/
727	Procase air - case de pc  tpu para bb bold 9700 / preto - youts - Youts	4.9	5/10/2017	https://www.magazineluiza.com.br/procase-air-case-de-pc-tpu-para-bb-bold-9700-preto-youts-youts/p/7100138/te/tlac/
728	Carregador Multifuncao Kit Charger+Carr.Android Leadership - Leadership	44.34	5/10/2017	https://www.magazineluiza.com.br/carregador-multifuncao-kit-charger-carr.android-leadership-leadership/p/7098301/te/tlac/
729	Película de vidro alcatel pop 2 4,5 - Nmastoh	9.9	5/10/2017	https://www.magazineluiza.com.br/pelicula-de-vidro-alcatel-pop-2-4-5-nmastoh/p/7073121/te/tlac/
730	Tela touch display iph 5c a1507 a1532 preto original - Oem	149.9	5/10/2017	https://www.magazineluiza.com.br/tela-touch-display-iph-5c-a1507-a1532-preto-original-oem/p/7077671/te/tlac/
731	Capa Case Rock Meteor Strass Slim Para Iphone 6/6s Plus - Rock	79.9	5/10/2017	https://www.magazineluiza.com.br/capa-case-rock-meteor-strass-slim-para-iphone-6-6s-plus-rock/p/7286513/te/tlac/
732	Capa Carteira Galaxy Grand Duos I9082 i9080 Samsung  Luxo - Waldman	59.99	5/10/2017	https://www.magazineluiza.com.br/capa-carteira-galaxy-grand-duos-i9082-i9080-samsung-luxo-waldman/p/7287376/te/tlac/
